0.00	0.00	0.00	32	0
0.00	0.00	0.00	32	0
0.00	0.01	0.00	32	0
0.00	0.01	0.01	32	0
0.00	0.04	0.02	32	0
0.01	0.00	0.01	64	0
0.00	0.05	0.03	64	0
0.00	0.06	0.03	64	0
0.01	0.01	0.02	64	0
0.00	0.04	0.03	64	0
0.02	0.06	0.05	128	0
0.01	0.06	0.05	128	0
0.00	0.06	0.04	128	0
0.01	0.05	0.04	128	0
0.00	0.03	0.02	128	0
0.01	0.09	0.06	256	0
0.02	0.08	0.06	256	0
0.03	0.08	0.07	256	0
0.00	0.08	0.05	256	0
0.03	0.07	0.07	256	0
0.02	0.12	0.09	512	0
0.05	0.14	0.12	512	0
0.02	0.13	0.10	512	0
0.02	0.17	0.11	512	0
0.02	0.13	0.09	512	0
0.03	0.26	0.17	1024	0
0.08	0.25	0.20	1024	0
0.06	0.28	0.21	1024	0
0.05	0.24	0.18	1024	0
0.03	0.30	0.20	1024	0
