0.00	0.02	0.03	32	0
0.00	0.02	0.03	32	0
0.00	0.00	0.01	32	0
0.00	0.03	0.03	32	0
0.00	0.01	0.02	32	0
0.00	0.04	0.04	64	0
0.00	0.01	0.02	64	0
0.00	0.04	0.04	64	0
0.01	0.03	0.04	64	0
0.00	0.02	0.03	64	0
0.00	0.06	0.07	128	0
0.00	0.06	0.07	128	0
0.00	0.06	0.07	128	0
0.00	0.04	0.04	128	0
0.01	0.05	0.07	128	0
0.01	0.07	0.08	256	0
0.02	0.08	0.10	256	0
0.01	0.07	0.08	256	0
0.01	0.09	0.10	256	0
0.01	0.09	0.10	256	0
0.03	0.10	0.14	512	0
0.03	0.14	0.17	512	0
0.03	0.14	0.17	512	0
0.03	0.12	0.16	512	0
0.03	0.13	0.17	512	0
0.06	0.21	0.27	1024	0
0.06	0.22	0.29	1024	0
0.06	0.22	0.29	1024	0
0.07	0.19	0.26	1024	0
0.07	0.20	0.27	1024	0
