0.00	0.03	0.02	32	0
0.00	0.03	0.02	32	0
0.00	0.03	0.02	32	0
0.00	0.04	0.02	32	0
0.00	0.04	0.02	32	0
0.02	0.05	0.04	64	0
0.02	0.05	0.04	64	0
0.01	0.05	0.03	64	0
0.00	0.07	0.04	64	0
0.00	0.07	0.04	64	0
0.02	0.13	0.08	128	0
0.04	0.12	0.08	128	0
0.03	0.15	0.09	128	0
0.01	0.16	0.08	128	0
0.02	0.17	0.09	128	0
0.07	0.21	0.07	256	0
0.00	0.13	0.04	256	0
0.01	0.12	0.04	256	0
0.01	0.12	0.04	256	0
0.01	0.12	0.04	256	0
0.03	0.26	0.10	512	0
0.05	0.24	0.10	512	0
0.02	0.26	0.09	512	0
0.12	0.51	0.21	512	0
0.12	0.51	0.21	512	0
0.11	0.74	0.28	1024	0
0.07	0.32	0.13	1024	0
0.04	0.37	0.14	1024	0
0.05	0.57	0.20	1024	0
0.07	0.64	0.24	1024	0
